Src,aux,Dest,Weight
Agente18356,1,Agente6605,1
Agente23595,1,Agente10678,1
Agente15768,1,Agente26267,1
Agente7345,1,Agente24861,1
Agente19803,1,Agente14733,1
Agente24377,1,Agente14866,1
Agente19137,1,Agente16610,1
Agente18356,1,Agente23052,2
Agente30873,1,Agente24377,1
Agente30292,1,Agente17278,2
Agente8409,1,Agente16558,3
Agente9922,1,Agente18434,1
Agente14789,1,Agente26383,1
Agente25637,1,Agente18887,1
Agente18548,1,Agente773,1
Agente4736,1,Agente24377,1
Agente22601,1,Agente14805,1
Agente5953,1,Agente25350,1
Agente27032,1,Agente23826,2
Agente26306,1,Agente24019,1
Agente18547,1,Agente23854,1
Agente1736,1,Agente10268,1
Agente26155,1,Agente7484,1
Agente8579,1,Agente25637,1
Agente17242,1,Agente24421,1
Agente9683,1,Agente22055,1
Agente25177,1,Agente23049,1
Agente23669,1,Agente12517,1
Agente15677,1,Agente23623,1
Agente18434,1,Agente24095,1
Agente18499,1,Agente15830,1
Agente21890,1,Agente26579,1
Agente8021,1,Agente22079,1
Agente24892,1,Agente14093,1
Agente19003,1,Agente16884,1
Agente74,1,Agente4074,1
Agente25910,1,Agente19350,1
Agente18731,1,Agente967,2
Agente25957,1,Agente14253,1
Agente2392,1,Agente24653,1
Agente12016,1,Agente15398,1
Agente19537,1,Agente5028,1
Agente4715,1,Agente21662,1
Agente23378,1,Agente2420,1
Agente19003,1,Agente6510,1
Agente12325,1,Agente21213,1
Agente23528,1,Agente19063,1
Agente30468,1,Agente14117,1
Agente4845,1,Agente4942,1
Agente17278,1,Agente23278,1
Agente27186,1,Agente21699,1
Agente25333,1,Agente11950,1
Agente18466,1,Agente14402,1
Agente14801,1,Agente6098,1
Agente18308,1,Agente19119,1
Agente24524,1,Agente14622,1
Agente19416,1,Agente12016,1
Agente14971,1,Agente15511,1
Agente26200,1,Agente2820,1
Agente18449,1,Agente24095,1
Agente20402,1,Agente26543,1
Agente5147,1,Agente20230,1
Agente22290,1,Agente24828,1
Agente8464,1,Agente22168,1
Agente11544,1,Agente30215,1
Agente25393,1,Agente17123,1
Agente6098,1,Agente19935,1
Agente24505,1,Agente1653,1
Agente5803,1,Agente22844,2
Agente1736,1,Agente28210,1
Agente8464,1,Agente18874,1
Agente10678,1,Agente10679,1
Agente20883,1,Agente6567,1
Agente6510,1,Agente24095,1
Agente12858,1,Agente2755,1
Agente20684,1,Agente18735,1
Agente22540,1,Agente28110,1
Agente19266,1,Agente25743,1
Agente6098,1,Agente4885,1
Agente28788,1,Agente21127,1
Agente23867,1,Agente16173,1
Agente30427,1,Agente11950,1
Agente17812,1,Agente11199,1
Agente22072,1,Agente25264,1
Agente18354,1,Agente18804,1
Agente27883,1,Agente18735,1
Agente18195,1,Agente19829,1
Agente15169,1,Agente26644,2
Agente22356,1,Agente4685,1
Agente21690,1,Agente18790,1
Agente21064,1,Agente25076,1
Agente23722,1,Agente10268,1
Agente8556,1,Agente16884,1
Agente13384,1,Agente9874,1
Agente13384,1,Agente21486,1
Agente9874,1,Agente21486,1
Agente11624,1,Agente15092,1
